SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
0.225552384,0.619454545,0.076566535,0.050808081,Iris-setosa
0.171687584,0.416532468,0.076566535,0.050808081,Iris-setosa
0.117822785,0.497701299,0.060097497,0.050808081,Iris-setosa
0.090890385,0.457116883,0.093035573,0.050808081,Iris-setosa
0.198619984,0.660038961,0.076566535,0.050808081,Iris-setosa
0.306349583,0.781792208,0.12597365,0.131616162,Iris-setosa
0.090890385,0.57887013,0.076566535,0.091212121,Iris-setosa
0.198619984,0.57887013,0.093035573,0.050808081,Iris-setosa
0.037025586,0.375948052,0.076566535,0.050808081,Iris-setosa
0.171687584,0.457116883,0.093035573,0.01040404,Iris-setosa
0.54874118,0.21361039,0.652982872,0.576060606,Iris-versicolor
0.306349583,0.700623377,0.093035573,0.050808081,Iris-setosa
0.144755184,0.57887013,0.109504611,0.050808081,Iris-setosa
0.144755184,0.416532468,0.076566535,0.01040404,Iris-setosa
0.010093186,0.416532468,0.02715942,0.01040404,Iris-setosa
0.414079181,0.822376623,0.043628458,0.050808081,Iris-setosa
0.467943981,0.294779221,0.685920949,0.616464646,Iris-versicolor
0.387146782,0.984714286,0.093035573,0.131616162,Iris-setosa
0.306349583,0.781792208,0.060097497,0.131616162,Iris-setosa
0.225552384,0.619454545,0.076566535,0.091212121,Iris-setosa
0.387146782,0.741207792,0.12597365,0.091212121,Iris-setosa
0.225552384,0.741207792,0.093035573,0.091212121,Iris-setosa
0.306349583,0.57887013,0.12597365,0.050808081,Iris-setosa
0.225552384,0.700623377,0.093035573,0.131616162,Iris-setosa
0.090890385,0.660038961,0.010690382,0.050808081,Iris-setosa
0.225552384,0.538285714,0.12597365,0.172020202,Iris-setosa
0.144755184,0.57887013,0.158911726,0.050808081,Iris-setosa
0.198619984,0.416532468,0.109504611,0.050808081,Iris-setosa
0.198619984,0.57887013,0.109504611,0.131616162,Iris-setosa
0.252484783,0.619454545,0.093035573,0.050808081,Iris-setosa
0.252484783,0.57887013,0.076566535,0.050808081,Iris-setosa
0.117822785,0.497701299,0.109504611,0.050808081,Iris-setosa
0.144755184,0.457116883,0.109504611,0.050808081,Iris-setosa
0.306349583,0.57887013,0.093035573,0.131616162,Iris-setosa
0.252484783,0.862961039,0.093035573,0.01040404,Iris-setosa
0.333281982,0.903545455,0.076566535,0.050808081,Iris-setosa
0.737267977,0.497701299,0.620044796,0.535656566,Iris-versicolor
0.575673579,0.497701299,0.587106719,0.576060606,Iris-versicolor
0.710335578,0.457116883,0.652982872,0.576060606,Iris-versicolor
0.333281982,0.132441558,0.504761528,0.495252525,Iris-versicolor
0.602605979,0.335363636,0.603575758,0.576060606,Iris-versicolor
0.387146782,0.335363636,0.587106719,0.495252525,Iris-versicolor
0.54874118,0.538285714,0.620044796,0.616464646,Iris-versicolor
0.171687584,0.173025974,0.389478261,0.374040404,Iris-versicolor
0.629538379,0.375948052,0.603575758,0.495252525,Iris-versicolor
0.252484783,0.294779221,0.48829249,0.535656566,Iris-versicolor
0.198619984,0.010688312,0.422416337,0.374040404,Iris-versicolor
0.441011581,0.416532468,0.537699605,0.576060606,Iris-versicolor
0.467943981,0.091857143,0.504761528,0.374040404,Iris-versicolor
0.49487638,0.375948052,0.620044796,0.535656566,Iris-versicolor
0.360214382,0.375948052,0.438885375,0.495252525,Iris-versicolor
0.656470778,0.457116883,0.570637681,0.535656566,Iris-versicolor
0.360214382,0.416532468,0.587106719,0.576060606,Iris-versicolor
0.198619984,0.132441558,0.389478261,0.374040404,Iris-versicolor
0.360214382,0.294779221,0.537699605,0.495252525,Iris-versicolor
0.387146782,0.416532468,0.537699605,0.454848485,Iris-versicolor
0.387146782,0.375948052,0.537699605,0.495252525,Iris-versicolor
0.52180878,0.375948052,0.554168643,0.495252525,Iris-versicolor
0.225552384,0.21361039,0.340071146,0.414444444,Iris-versicolor
0.387146782,0.335363636,0.521230567,0.495252525,Iris-versicolor
0.54874118,0.538285714,0.834142292,0.98010101,Iris-virginica
0.414079181,0.294779221,0.685920949,0.737676768,Iris-virginica
0.764200377,0.416532468,0.817673254,0.818484848,Iris-virginica
0.54874118,0.375948052,0.76826614,0.697272727,Iris-virginica
0.602605979,0.416532468,0.801204216,0.858888889,Iris-virginica
0.898862375,0.416532468,0.932956522,0.818484848,Iris-virginica
0.171687584,0.21361039,0.587106719,0.656868687,Iris-virginica
0.818065176,0.375948052,0.883549407,0.697272727,Iris-virginica
0.656470778,0.21361039,0.801204216,0.697272727,Iris-virginica
0.791132777,0.660038961,0.850611331,0.98010101,Iris-virginica
0.575673579,0.294779221,0.718859025,0.737676768,Iris-virginica
0.683403178,0.416532468,0.751797101,0.818484848,Iris-virginica
0.387146782,0.21361039,0.66945191,0.778080808,Iris-virginica
0.414079181,0.335363636,0.685920949,0.93969697,Iris-virginica
0.575673579,0.497701299,0.718859025,0.899292929,Iris-virginica
0.602605979,0.416532468,0.751797101,0.697272727,Iris-virginica
0.925794775,0.741207792,0.94942556,0.858888889,Iris-virginica
0.925794775,0.254194805,0.982363636,0.899292929,Iris-virginica
0.467943981,0.091857143,0.66945191,0.576060606,Iris-virginica
0.710335578,0.497701299,0.784735178,0.899292929,Iris-virginica
0.360214382,0.335363636,0.652982872,0.778080808,Iris-virginica
0.925794775,0.335363636,0.94942556,0.778080808,Iris-virginica
0.54874118,0.294779221,0.652982872,0.697272727,Iris-virginica
0.656470778,0.538285714,0.784735178,0.818484848,Iris-virginica
0.791132777,0.497701299,0.834142292,0.697272727,Iris-virginica
0.52180878,0.335363636,0.636513834,0.697272727,Iris-virginica
0.49487638,0.416532468,0.652982872,0.697272727,Iris-virginica
0.575673579,0.335363636,0.76826614,0.818484848,Iris-virginica
0.791132777,0.416532468,0.801204216,0.616464646,Iris-virginica
0.844997576,0.335363636,0.850611331,0.737676768,Iris-virginica
0.979659574,0.741207792,0.900018445,0.778080808,Iris-virginica
0.575673579,0.335363636,0.76826614,0.858888889,Iris-virginica
0.54874118,0.335363636,0.685920949,0.576060606,Iris-virginica
0.49487638,0.254194805,0.76826614,0.535656566,Iris-virginica
0.925794775,0.416532468,0.850611331,0.899292929,Iris-virginica
0.198619984,0.538285714,0.076566535,0.050808081,Iris-setosa
0.54874118,0.57887013,0.76826614,0.93969697,Iris-virginica
0.575673579,0.457116883,0.751797101,0.697272727,Iris-virginica
0.467943981,0.416532468,0.636513834,0.697272727,Iris-virginica
0.710335578,0.457116883,0.735328063,0.818484848,Iris-virginica
0.575673579,0.375948052,0.554168643,0.495252525,Iris-versicolor
0.629538379,0.416532468,0.570637681,0.535656566,Iris-versicolor
0.683403178,0.335363636,0.636513834,0.535656566,Iris-versicolor
0.656470778,0.416532468,0.66945191,0.656868687,Iris-versicolor
0.467943981,0.375948052,0.587106719,0.576060606,Iris-versicolor
0.171687584,0.457116883,0.093035573,0.01040404,Iris-setosa
0.198619984,0.497701299,0.043628458,0.050808081,Iris-setosa
0.333281982,0.619454545,0.060097497,0.050808081,Iris-setosa
0.171687584,0.457116883,0.093035573,0.01040404,Iris-setosa
0.414079181,0.294779221,0.521230567,0.374040404,Iris-versicolor
0.279417183,0.700623377,0.093035573,0.050808081,Iris-setosa
0.52180878,0.091857143,0.587106719,0.576060606,Iris-versicolor
0.656470778,0.457116883,0.76826614,0.93969697,Iris-virginica
0.360214382,0.21361039,0.48829249,0.414444444,Iris-versicolor
0.441011581,0.497701299,0.636513834,0.697272727,Iris-versicolor
0.49487638,0.335363636,0.504761528,0.495252525,Iris-versicolor
0.49487638,0.335363636,0.620044796,0.454848485,Iris-versicolor
0.360214382,0.416532468,0.521230567,0.495252525,Iris-versicolor
0.333281982,0.21361039,0.504761528,0.495252525,Iris-versicolor
0.333281982,0.254194805,0.570637681,0.454848485,Iris-versicolor
0.49487638,0.416532468,0.603575758,0.535656566,Iris-versicolor
0.414079181,0.254194805,0.504761528,0.454848485,Iris-versicolor
0.710335578,0.457116883,0.685920949,0.899292929,Iris-virginica
0.414079181,0.294779221,0.685920949,0.737676768,Iris-virginica
0.683403178,0.497701299,0.817673254,0.899292929,Iris-virginica
0.656470778,0.538285714,0.784735178,0.98010101,Iris-virginica
0.656470778,0.416532468,0.702389987,0.899292929,Iris-virginica
0.54874118,0.21361039,0.66945191,0.737676768,Iris-virginica
0.602605979,0.416532468,0.702389987,0.778080808,Iris-virginica
0.52180878,0.57887013,0.735328063,0.899292929,Iris-virginica
0.441011581,0.416532468,0.685920949,0.697272727,Iris-virginica
0.602605979,0.497701299,0.685920949,0.778080808,Iris-virginica
0.037025586,0.416532468,0.060097497,0.050808081,Iris-setosa
0.225552384,0.57887013,0.093035573,0.050808081,Iris-setosa
0.198619984,0.619454545,0.060097497,0.091212121,Iris-setosa
0.063957985,0.132441558,0.060097497,0.091212121,Iris-setosa
0.037025586,0.497701299,0.060097497,0.050808081,Iris-setosa
0.198619984,0.619454545,0.109504611,0.212424242,Iris-setosa
0.225552384,0.741207792,0.158911726,0.131616162,Iris-setosa
0.144755184,0.416532468,0.076566535,0.091212121,Iris-setosa
0.225552384,0.741207792,0.109504611,0.050808081,Iris-setosa
0.090890385,0.497701299,0.076566535,0.050808081,Iris-setosa
0.387146782,0.254194805,0.422416337,0.374040404,Iris-versicolor
0.333281982,0.173025974,0.471823452,0.414444444,Iris-versicolor
0.333281982,0.173025974,0.455354414,0.374040404,Iris-versicolor
0.414079181,0.294779221,0.48829249,0.454848485,Iris-versicolor
0.306349583,0.416532468,0.587106719,0.576060606,Iris-versicolor
0.467943981,0.57887013,0.587106719,0.616464646,Iris-versicolor
0.656470778,0.457116883,0.620044796,0.576060606,Iris-versicolor
0.54874118,0.132441558,0.570637681,0.495252525,Iris-versicolor
